"","Pstd","H","Hstd","volume","error","Int_diff_mean","Int_diff_sd","Int_diff_0.025quant","Int_diff_0.975quant","Int_err_mean","Int_err_sd","Int_err_0.025quant","Int_err_0.975quant"
"fitted.Predictor.01097",0.01,23,-2.33682225649442,NA,NA,105.922679322952,19.0580371097046,68.5614906869954,143.301292380062,-4.08269552203567,0.1364645255015,-4.34715163533052,-3.81182734708252
"fitted.Predictor.01098",0.01,23.5,-2.29607253267207,NA,NA,105.457436986653,18.3631337867463,69.4591495767074,141.473480040486,-4.09332065257513,0.132286181287545,-4.34966700421528,-3.83073052679952
"fitted.Predictor.01099",0.01,24,-2.25532280884972,NA,NA,104.978205083163,17.6868849268792,70.3062537128657,139.668267320051,-4.10385009947614,0.128232787737847,-4.35233275206238,-3.84929503472986
"fitted.Predictor.01100",0.01,24.5,-2.21457308502738,NA,NA,104.484983611171,17.0295248712649,71.1023431197394,137.886113262177,-4.11428387343215,0.124305315605198,-4.35515085824415,-3.86751890253547
"fitted.Predictor.01101",0.01,25,-2.17382336120503,NA,NA,103.977772569189,16.3913032037334,71.8469278601569,136.127506757517,-4.12462200036554,0.120504715302859,-4.35812323080688,-3.88540022105557
"fitted.Predictor.01102",0.01,25.5,-2.13307363738269,NA,NA,103.456571955534,15.7724849172729,72.5394877020915,134.392966870978,-4.13486452394218,0.116831903209244,-4.36125167349362,-3.90293717067159
"fitted.Predictor.01103",0.01,26,-2.09232391356034,NA,NA,102.921381768308,15.1733502878356,73.1794723596446,132.683042596516,-4.1450115081723,0.113287745667228,-4.36453784878193,-3.92012805588157
"fitted.Predictor.01104",0.01,26.5,-2.051574189738,NA,NA,102.372202005376,14.5941943597496,73.7663024969734,130.998311852542,-4.15506304001311,0.109873040528042,-4.36798323716566,-3.93697134409336
"fitted.Predictor.01105",0.01,27,-2.01082446591565,NA,NA,101.809032664351,14.0353259274692,74.2993717222541,129.339379492719,-4.16501923186065,0.106588496120853,-4.37158909307694,-3.9534657084827
"fitted.Predictor.01106",0.01,27.5,-1.97007474209331,NA,NA,101.231873742576,13.4970658779077,74.7780498387844,127.706874066572,-4.17488022378984,0.103434707614688,-4.37535639800833,-3.9696100745961
"fitted.Predictor.01107",0.01,28,-1.92932501827096,NA,NA,100.640725237113,12.9797447371104,75.2016876611739,126.101443024418,-4.18464618537279,0.100412130813475,-4.37928581154041,-3.9854036701809
"fitted.Predictor.01108",0.01,28.5,-1.88857529444862,NA,NA,100.035587144743,12.4836992468826,75.5696237404532,124.523746025483,-4.19431731688173,0.0975210535465261,-4.38337762109127,-4.00084607751862
"fitted.Predictor.01109",0.01,29,-1.84782557062627,NA,NA,99.416459461971,12.0092677841867,75.8811933669817,122.974445982876,-4.20389384966628,0.0947615649466869,-4.38763169127106,-4.01593728731913
"fitted.Predictor.01110",0.01,29.5,-1.80707584680392,NA,NA,98.7833421850491,11.5567844329077,76.1355100455464,121.454197472488,-4.21337604549089,0.092133523078083,-4.39204741373922,-4.03067775305948
"fitted.Predictor.01111",0.01,30,-1.76632612298158,NA,NA,98.1362353100142,11.1265715292869,76.3317960240781,119.963632155537,-4.22276419463317,0.0896365215397373,-4.39662365843816,-4.04506844446139
"fitted.Predictor.01112",0.01,30.5,-1.72557639915923,NA,NA,97.4751388327477,10.7189305355482,76.469853070603,118.503340928711,-4.23205861257887,0.0872698558626471,-4.401358727024,-4.05909607747768
"fitted.Predictor.01113",0.01,31,-1.68482667533689,NA,NA,96.800052749061,10.334131157394,76.549152565476,117.073852635088,-4.24125963521158,0.0850324906931752,-4.40625030926638,-4.07275911039158
"fitted.Predictor.01114",0.01,31.5,-1.64407695151454,NA,NA,96.1109770548054,9.97239871667588,76.569252997446,115.675609355138,-4.25036761226344,0.0829230290899449,-4.41129544312524,-4.08607815321501
"fitted.Predictor.01115",0.01,32,-1.6033272276922,NA,NA,95.4079117460104,9.63389992400067,76.5298278819761,114.308938557537,-4.25938289952012,0.080939684886612,-4.41649047936889,-4.09905706047113
"fitted.Predictor.01116",0.01,32.5,-1.56257750386985,NA,NA,94.6908568190431,9.31872736664346,76.430696198222,112.974022722663,-4.268305851241,0.0790802584527213,-4.42184426586047,-4.11170042740488
"fitted.Predictor.01117",0.01,33,-1.52182778004751,NA,NA,93.9598122707918,9.02688322680351,76.2718543313662,111.67086744225,-4.27713680850181,0.0773421209118303,-4.42736178804645,-4.12401358925249
"fitted.Predictor.01118",0.01,33.5,-1.48107805622516,NA,NA,93.2147780988531,8.75826295712156,76.053508091463,110.399269413564,-4.28587608959373,0.0757222034745042,-4.43301308450729,-4.13600262948915
"fitted.Predictor.01119",0.01,34,-1.44032833240282,NA,NA,92.4557543017238,8.51263983735919,75.7761029926435,109.158786133543,-4.29452397987998,0.0742169954561345,-4.43879119555802,-4.14767437359071
"fitted.Predictor.01120",0.01,34.5,-1.39957860858047,NA,NA,91.6827408789732,8.28965148371075,75.4403506876538,107.948709389509,-4.30308072235912,0.0728225512113669,-4.44468841927115,-4.15903637362981
"fitted.Predictor.01121",0.01,35,-1.35882888475812,NA,NA,90.8957378313889,8.08878944236433,75.047249336119,106.768044764434,-4.31154650950998,0.0715345063953451,-4.45069633427485,-4.17009688403789
"fitted.Predictor.01122",0.01,35.5,-1.31807916093578,NA,NA,90.0947451610793,7.90939293914473,74.5980958043678,105.61549926173,-4.31992147693048,0.0703481035800986,-4.4568058349712,-4.18086482869668
